title,date,context
Toyota aims to create a more inclusive society via Tokyo 2020,"August 24, 2018","
– As a worldwide partner of the Olympic and Paralympic Games, Toyota Motor Corporation is supporting Para sports and contributing to creating a more inclusive society at the grassroots level, as well as through cooperation with The Tokyo Organizing Committee of the Olympic and Paralympic Games (Tokyo 2020 Organizing Committee) and the broader business community in Japan. During the upcoming Paralympic Games, Toyota will encourage further interest in Para sports around the world while providing “Mobility for All” solutions.

Speaking on Toyota’s focus on the Paralympics, Akio Toyoda, President of Toyota Motor Corporation, said, “Through my meetings with Sir Philip Craven when he was President of the International Paralympic Committee in 2015, and with many Para athletes since, I have become even more committed to the idea that Toyota should provide mobility solutions for all people. With this in mind, we are taking steps as a mobility company, not just by making ‘ever-better cars’, but also by aiming to address various mobility needs above and beyond cars.”

He continued, “I am convinced this journey will help us appreciate differences as individuality, and lead us to free ourselves from the sort of fixed thinking that can hold back large organizations like ours, and from
and discrimination in society at large. I see Toyota’s involvement with the Paralympic movement as taking a decisive step toward our goal of ‘One Toyota’ and as a humble step to help achieve Sir Philip’s motto, ‘One World, One Dream, One People.’”

“Toyota’s aim of ‘Mobility for All’ is not just for those with impairments, but has broader implications for all people, and therefore has special meaning,” said Sir Philip Craven, a member of Toyota Motor Corporation’s board of directors since June 2018. “The first time Akio Toyoda visited the IPC headquarters a few years back, he recorded ‘Fight for the Future. One World, One Dream, One People, One Toyota.’ in our guestbook, and that left a strong impression on me. I came to believe that fighting together with Toyota may truly lead to a better future where all people will be able to have the freedom to move.”

Toyota is supporting the Paralympic movement through internal activities involving its employees, and by working in partnership with Tokyo 2020 Organizing Committee and the All Japan Business Committee.


In 2017, Toyota began grassroots activities around the world related to expanding interest in Para sports, including:

When signing the agreement to become worldwide partner of the IPC, Toyota also signed an agreement to become a partner to approximately 180 local National Paralympic Committees (NPCs). Working closely with each NPC, Toyota aims to increase and develop interest in Para sports globally.







Toyota is engaged in activities with various stakeholders and local communities in Japan to support the movement of people with limited transportation options.

(Joint verification project in Akita Prefecture, Yokota City)



As worldwide partner of the Olympic and Paralympic Games, in addition to the mobility solutions that it will provide to the Games, Toyota will also work with its dealers, group companies and Tokyo 2020 Organizing Committee, the Japanese government and the city of Tokyo in the following ways:






To support the Games, the business community in Japan created the ""All Japan Business Committee"" with the objective of creating legacy for Tokyo 2020 and the future after the Games. The group is the coming together of three Japan economic/business organizations: the Japan Business Federation, the Japan Chamber of Commerce and Industry, and the Japan Association of Corporate Executives. Akio Toyoda is supporting the effort by chairing the Committee which is encouraging the participation of companies large and small nationwide in cooperation with state and local governments and civil society.

1.







Leigh Anne Sessions

424-488-4200



















"
16-Year-Old Takes Weekend Spotlight,"August 27, 2018","
While the NASCAR Cup Series enjoyed a rare weekend off, other stock-car racing was in action in Canada as well as the Midwest. Near St. Louis, 16-year-old Derek Kraus shined in the NASCAR K&N Pro Series East and West combination event.


Road Racing took center stage once again for the NASCAR Xfinity Series (NXS) as Australian James Davison climbed into the No. 18 Joe Gibbs Racing Camry and earned an eighth-place finish at Wisconsin’s Road America on Saturday. Fellow Camry driver Brandon Jones also netted a ninth-place result at the four-mile road course, which was won by Justin Allgaier.

The NASCAR Camping World Truck Series (NCWTS) kicked-off their playoffs on Sunday, also with a road course event in Canada. The final lap was a show-stopper, which saw Brett Moffitt as the highest-finishing Toyota driver in third-place behind race-winner Justin Haley.

“Our race strategy we went for stage points,” said Moffitt. “We had a really fast Toyota Tundra today and these guys worked really hard on it. We had the speed where if we got to the front, we could pull away and go for a win. It just wasn’t our day, but overall a great points day.”

Championship contender Noah Gragson (ninth) paced a race-high 35 laps (of 65) after winning both of the event’s stages. His Kyle Busch Motorsports teammate Todd Gilliland also led 11 laps, including leading the field on the final lap. Gragson and Gilliland were fighting for the lead on the final corner where they made contact and both dropped out of contention. Gilliland would finish the day in 11th.

Meanwhile, the NASCAR K&N Pro Series East and West joined forces for the second combination event of the year, this time at Gateway Motorsports Park outside of St. Louis. Toyota driver Kraus led the final 37 laps (of 120) to earn the biggest victory of his career, which now includes four K&N Pro Series trophies.

“Our NAPA Toyota was really strong,” Kraus said. “It was a big win, with it being an East-West combo event and the first race at Gateway. That gives us bragging rights.”

Five Toyota drivers finished in the top-six positions with Kraus’ Bill McAnally Racing teammate Cole Rouse taking second – after leading 35 laps – followed by Ruben Garcia (fourth), Chase Cabre (fifth) and East points leader Tyler Ankrum in sixth.


Toyota driver Zane Smith finished runner-up in the ARCA Racing Series event a Michigan’s Berlin Raceway. Smith had been leading when eventual race winner Joe Graf made contact with Smith en route to the checkered flag.


The Monster Energy NASCAR Cup Series returns to action for a Throwback weekend at South Carolina’s Darlington Raceway on September 2 at 6 p.m. ET on NBCSN. NASCAR Xfinity Series will take on the ‘Lady in Black’ at Darlington on September 1 at 3:30 p.m. ET on NBC.

The NHRA Mello Yello Drag Racing Series heads to Indianapolis for the U.S. Nationals -- the final race before their Countdown to the Championship begins. Broadcasts are set for September 2 at 4 p.m. ET and September 3 at 11 a.m. ET on FS1.

ARCA will compete at DiQuoin (Illinois) State Fairgrounds September 3 at 3 p.m. ET on MAVTV.

The Lucas Oil Off Road Racing Series Midwest will conclude their season at the 49th annual off-road event at Crandon International Raceway.
Zachary Reed
469.292.3499


Lisa Hughes Kennedy
704.902.6476

















"
Toyota and Uber Extend Collaboration to Automated Vehicle Technologies,"August 27, 2018","
Toyota Motor Corporation (TMC) and Uber Technologies, Inc. (Uber) today announced that they have agreed to expand their collaboration with the aim of advancing and bringing to market autonomous ride-sharing as a mobility service at scale. To accomplish this, technology from each company will be integrated into purpose-built Toyota vehicles to be deployed on Uber’s ride-sharing network.

Separately, Toyota is investing $500 million in Uber.

“Combining efforts with Uber, one of the predominant global ride-sharing and automated driving R&D companies, could further advance future mobility,” said Shigeki Tomoyama, executive vice president, TMC, and president, Toyota Connected Company. “This agreement and investment marks an important milestone in our transformation to a mobility company as we help provide a path for safe and secure expansion of mobility services like ride-sharing that includes Toyota vehicles and technologies.”

As Uber and Toyota look ahead to a self-driving future, this partnership will be critical in realizing self-driving technology at scale. Uber and Toyota anticipate that the mass-produced autonomous vehicles will be owned and operated by mutually agreed upon third party autonomous fleet operators.

“The deal is the first of its kind for Uber, and signals our commitment to bringing world-class technologies to the Uber network,” said Dara Khosrowshahi, Uber’s CEO. “Our goal is to deploy the world’s safest self-driving cars on the Uber network, and this agreement is another significant step towards making that a reality. Uber’s advanced technology and Toyota’s commitment to safety and its renowned manufacturing prowess make this partnership a natural fit. I look forward to seeing what our teams accomplish together.”

The initial “Autono-MaaS” (autonomous-mobility as a service) fleet will be based on Toyota’s Sienna Minivan platform. Uber’s Autonomous Driving System and the Toyota Guardian automated safety support system will both be integrated into the Autono-MaaS vehicles. Toyota will also utilize its Mobility Services Platform (MSPF), its core information infrastructure for connected vehicles. Pilot-scale deployments will begin on the Uber ride-sharing network in 2021.

“Uber’s automated driving system and Toyota’s Guardian system will independently monitor the vehicle environment and real-time situation, enhancing overall vehicle safety for both the automated driver and the vehicle,” said Dr. Gill Pratt, Toyota Research Institute CEO and TMC Fellow. “We look forward to this partnership accelerating both companies’ development and deployment of automated driving technology.”

Toyota’s investment in Uber and the proposed collaboration are subject to standard regulatory approvals.
Japan media line
+81-3-3817-9170


Brian Lyons
+1-469-292-3573


John Hanson
+1-657-331-1291
j

Uber media
press@uber.com















"
2018 - 2019 Toyota Full-Line Pricing,"August 31, 2018","



































"
Toyota is on the Road for Another Summer Music Spectacular at the Second Edition of the Los Dells Festival,"August 31, 2018","
Coined as the largest Latin music festival in the Midwest featuring a lineup of multi-genre artists, Los Dells Festival returns to the Wisconsin Dells on September 1st and 2nd.  Joining the music-filled weekend, Toyota presents the Toyota Music Den stage with a variety of Latin acts sure to delight music enthusiasts.

This year, Toyota—in collaboration with Sony Music—partnered with headlining Latin singer, songwriter, and producer Wisin as the curator of the Toyota Music Den stage. The lineup features the hottest Latin talent—in support of music discovery and Toyota’s commitment to supporting artists on their road to success.

“Toyota is all about creating experiences that engage artists and guests alike in the spirit of music discovery,” said Tyler McBride, Toyota’s engagement marketing manager. “To be able to collaborate with Sony Music and a music icon like Wisin sets up our Toyota Music Den for a spectacular debut at Los Dells.”

The Toyota
interactive area at Los Dells will feature numerous activities, including vehicle activations that bring music to life.  Within this setting, the Toyota Music Den presents a variety of musical performances featuring some of today’s most notable Latin artists.  The lineup includes:

“As a producer and artist, I enjoy working with young talent and helping to pave the way for them.  Being the curator of the Toyota Music Den provided me the opportunity to do that,” stated Wisin. “It’s exciting to be at Los Dells as a headliner and to be sharing the weekend with amazing artists.  Thanks to Toyota for having the vision to provide a stage for these young artists at important festivals like this one, bringing them that much closer to their fans.”

“What better place to showcase the latest artists, sounds, and trends than through these types of partnerships. Along with Wisin, a music icon who has written and produced countless award-winning records who knows what it takes and has an eye for talent,” said Cebele Marquez, Sony Music US Latin’s senior director of business development.

In addition to continuing its support for music through festival involvement, Toyota announced its fourth-year partnership with the VH1 Save The Music Foundation in support of music education.  The interactive campaign encourages musicians and fans to express their support and share what music means to them through social media using #ToyotaGiving.

Toyota and VH1 Save The Music have presented grants to various deserving schools in Chicago, Las Vegas and New Orleans to date.  Toyota will make its largest donation yet to VH1 Save The Music this year, $50,000 which will fund a Music Technology grant to support a school in the Philadelphia School District, as well as a $7,500 music grant to the Miami-Dade School District.















"
August 2018 Sales Chart,"September 04, 2018","














"
Toyota Motor North America Reports U.S. Sales for August 2018,"September 04, 2018","
– Toyota Motor North America (TMNA) today reported August 2018 sales of 223,055 units. With the same number of selling days in August 2018 compared to August 2017, sales were down 2.0 percent on a daily selling rate (DSR) and volume basis.

Toyota division posted August 2018 sales of 194,433 units, down 1.2 percent on a DSR and volume basis.

Lexus posted August sales of 28,622 units, down 7.1 percent on a DSR and volume basis.





*Note:  Unless otherwise stated, all figures reflect unadjusted raw sales volume


Toyota Business Communications
Amanda Roark
(469) 292-2636

Karen Nielsen
(469) 292-2659

Lexus Public Relations
Ed Hellwig
(469) 292-5103

Craig Taguchi
(469) 292-4954














"
Holiday Weekend Nets Winning Results,"September 04, 2018","
What better way for a racer to close out the summer than with a trip to victory lane – or bring home a championship – and that’s exactly how Toyota drivers celebrated Labor Day weekend. In total, five triumphs were collected across NHRA, ARCA, POWRi and the first championship of the year won by a Toyota driver in off-road racing.


Three Toyota Camry drivers collected top-10 finishes at South Carolina’s Darlington Raceway with Kyle Busch the top-Toyota finisher in seventh in the Southern 500 on Sunday. Erik Jones finished eighth, his 13th top-10 in his sophomore season.

“We had a really good car,” Jones said. “The Sport Clips Camry was good. You can’t complain. We worked hard on it all night and had a fast car – had a car that I think if it would’ve stayed green, maybe we could have contended.”

Earlier in the weekend, Denny Hamlin earned his third pole position of the season and he led 11 laps before finishing 10th.

The three drivers, along with Martin Truex Jr. are already locked into the Cup Series playoffs as the series heads to Indiana for the regular season finale. Busch, the 2015 series champion, leads the regular season by 39 points with one race remaining and he and Truex sit second and third in the playoff standings based on wins this year.

In NASCAR Xfinity Series (NXS) action, Hamlin made his sole start of the season and finished fourth as the highest-finishing Camry driver in Saturday’s race.

The NXS has two races remaining before their playoffs begin at Richmond Raceway later this month. Christopher Bell and Brandon Jones have already locked themselves into the post-season title hunt.

The race weekend was swept by Brad Keselowski.


Camry driver J.R. Todd won the Funny Car finals on Monday – his second consecutive U.S. Nationals title at Lucas Oil Raceway in Indianapolis.

“I’m just happy to get a win here,” Todd said. “The Funny Car division is so tough out here. We came out really strong this spring, then really fell off in the summer. Before this race, we made some pretty big changes going into the Indy test - in some ways going back to the old ways of running the DHL Toyota Camry.”

In Top Fuel, Doug Kalitta fell just 0.006 short of making it a Kalitta Motorsports/Toyota sweep as he advanced to his fifth final round of the season. Terry McMillen was the winner.

Indianapolis concluded the NHRA regular season as the Countdown to the Championship begins and four Toyota drivers will compete for the series title. Kalitta and Antron Brown will compete in Top Fuel, while Todd and Shawn Langdon will vie for the Funny Car title.


CJ Greaves drove his Toyota Tundra Pro-4 to victories on Friday and Saturday to capture the first Lucas Oil Midwest Short Course League title in off-road competition. Tundras won all seven points races on the schedule.

“Man, it was a crazy season,” said Greaves. “We had all kinds of ups and downs, we just kept our heads down and digging to get the truck better and better each week.”


Toyota driver Logan Seavey mastered the dirt track of DuQuoin State Fairgrounds to claim his first-career ARCA Racing Series victory in only his second series start on Monday.

Seavey started fourth and stayed within the top-10 most of the race until taking the lead on lap 66 (of 100) and never relinquished it to collect his first stock car victory.


Toyota drivers swept the weekend’s POWRi National Midget League events at Missouri’s Lake Ozark Speedway with Seavey winning Saturday night and POWRi point leader Tucker Klaasmeyer on Sunday.


The Monster Energy NASCAR Cup Series closes out the regular season at Indianapolis Motor Speedway on September 9 at 2 p.m. ET on NBCSN. NASCAR Xfinity Series also competes at Indy on September 8 at 3 p.m. ET on NBCSN.

USAC will host a special event at the Dirt Track at Indianapolis Motor Speedway on September 5-6, which will be broadcast on September 7 at 6 p.m. ET on NBCSN.

ARCA will also race in Indy this week, at Lucas Oil Raceway on September 7 at 9 p.m. ET on MAVTV.
Zachary Reed
469.292.3499


Lisa Hughes Kennedy
704.902.6476


















"
"Dallas ISD, Toyota and SMU Collaborate to Support Future STEM-Focused School in West Dallas","September 07, 2018","
– Dallas Independent School District (Dallas ISD), Toyota USA Foundation and SMU have joined together to collaborate on the creation of a new and innovative STEM-focused school in west Dallas.

The aim is to inspire and prepare students for the next generation of STEM jobs through curricula that is project-based and business-aligned.

“This is an exciting opportunity for our students and families of west Dallas as  this unique public private partnership comes together,” said Dallas ISD Superintendent Michael Hinojosa. “STEM jobs are the wave of the future, and Toyota and SMU’s contribution is a major investment in shaping the next generation. This is a significant shift in education, and we’re grateful to these incredible partners.”


is granting $2 million to
which will develop curricula, advise on state-of-the-art educational practices, provide professional development for teachers, coordinate nonprofits operating in the area, and monitor and evaluate the program. The future school will be operated and staffed by the Dallas ISD. The Office of Transformation and Innovation will co-facilitate the design of the school in collaboration with School Leadership.
­­­­
The collaboration will also bring together nonprofits, including groups already working with Dallas ISD through the SMU Simmons School program,
, as well as Toyota Motor North America and Toyota Financial Services’ partners to address community issues like literacy, nutrition, transportation and after–school care –  each vital to creating successful outcomes for the community.

“Collectively, our goal is to create a brighter future for students, help families become more resilient, and create a community and school model that can be replicated,” said Mike Goss, president of Toyota USA Foundation. “We want to help increase access to opportunity, connecting students to the millions of STEM jobs that exist today, and the many more that will be created as industry advances.”

This partnership developed as a result of numerous requests from the community for STEM offerings within the Pinkston High School feeder pattern.

“This partnership advances our efforts currently underway in west Dallas, with a holistic approach that lifts the community and provides opportunity for students,” said SMU President R. Gerald Turner.  “Evidence-based education is the foundation for everything we do in the Simmons School, and we look forward to the opportunity to provide resources and research that underscore the success of the school.”

Following an inclusive planning phase, the next two academic years will focus on curriculum and professional development for faculty.

“Everything is still on the table, including decisions about curricula and which wrap-around services will be provided through the school by community partners,” said SMU Simmons School Dean Stephanie L. Knight. “This announcement is meant to let all the stakeholders, parents included, know that we want their input at every level as we move forward.”

The school will begin a phased opening beginning fall 2021.

Karen Nielsen
karen.nielsen@toyota.com
469.847.2187

Amanda Roark
amanda.roark@toyota.com
310.291.5002


Kim Cobb
cobbk@mail.smu.edu
214.336.2290


Robyn Harris
RobHarris@dallasisd.org
214.202.6806


















"
NASCAR Regular Season Champ Crowned,"September 11, 2018","
A rain-soaked Indianapolis – which pushed the NASCAR races to a Monday double-header – couldn’t dampen the racing-action at the Brickyard which delivered a Toyota-powered Monster Energy NASCAR Cup Series (MENCS) regular season champion and a historic victory in the first-ever dirt USAC race at Indianapolis Motor Speedway.


Camry driver Kyle Busch was crowned the 2018 MENCS regular season champion after leading 27 laps (of 160) at Indy – where he finished eighth in Monday’s rain-delayed race.

En route to the regular season title, Busch claimed six victories and 17 top-five finishes in the season’s first 26 races. He enters the Cup Playoffs tied for the points lead with Kevin Harvick, and 15 points ahead of Toyota teammate and third-place Martin Truex Jr.

“They give away a trophy and we were able to go out and get it,” Busch said of the regular season title. “Everybody on this team, they work so hard all year long and to get us to where we’re at here today, it was certainly hard fought. Overall it’s pretty good to be in this spot with having those extra bonus points and having some new hardware to go home with us.”

Busch’s Joe Gibbs Racing teammates Erik Jones (second) and Denny Hamlin (third) tried to hold off race-winner Brad Keselowski but settled for their career-best finishes at the 2.5-mile race track. For Hamlin, it was the third time he collected a third-place finish at the Brickyard in 13 track Cup starts.

Truex (third), Jones (10th) and Hamlin (13th) will accompany Busch in the Cup Playoffs, which are set to begin this weekend at Las Vegas Motor Speedway.

In Monday’s rain-delayed NASCAR Xfinity Series (NXS) race at Indy, Toyota drivers Christopher Bell (seventh) and Brandon Jones (10th) earned top-10 finishes behind Xfinity race winner Justin Allgaier.

The series also heads to Vegas later this week to close out their regular season where Toyota drivers Bell and B. Jones are locked into the NXS Playoffs, which begin in two weeks at Richmond Raceway.


Brady Bacon led the final nine laps and held off fellow Toyota driver Chad Boat to win the USAC National Midget series’ inaugural feature race at the Dirt Track at Indianapolis Motor Speedway in an event that included more than 100 cars.

Toyota-powered entries have now won 33 national midget features in 2018, with 14 different drivers scoring at least one win.


It’s a quadruple-header NASCAR race weekend at Las Vegas Motor Speedway this week as the Monster Energy NASCAR Cup Series kicks off their playoffs on September 16 at 3 p.m. ET on NBCSN. NASCAR Xfinity Series races on September 15 at 5 p.m. ET on NBCSN while the NASCAR Camping World Truck Series continues their playoffs on September 14 at 9 p.m. ET on FS1. The NASCAR K&N Pro Series West will compete at Las Vegas’ dirt track on September 13, which will be broadcast on NBCSN on September 21 at 2:30 p.m. ET.

ARCA will races at Salem Speedway on September 15 at 7:15 p.m. ET on MAVTV.

Formula Drift takes on Texas Motor Speedway this Friday and Saturday, September 14-15 with a live stream available through their website and app.

NHRA kicks off their Countdown to the Championship at Maple Grove Raceway with Finals on September 16 at 7:30 p.m. ET on FS1.
Zachary Reed
469.292.3499


Lisa Hughes Kennedy
704.902.6476

















"
2019 Toyota Corolla Hatchback is ‘Greater Than’,"September 17, 2018","
—  “Tablet down, let’s go” says dad as the family preps for the road trip.  They pile into their all-new 2019 Toyota Corolla Hatchback  and take off on an adventure.  Before you know it, the tablet is forgotten, and life takes over . This family is living life “Greater Than” before, and the Corolla Hatchback helped them get there.

Toyota’s new 2019 Corolla Hatchback national marketing campaign, titled “Greater Than”, promises a vehicle that enables drivers to live in the moment and experience life to the fullest.  The fun-to-drive hatchback evokes style without compromise while boosting Toyota’s newest, most technologically-advanced features in a small car.  The campaign highlights the fact that Corolla drivers continually carve out opportunities to come together with friends and loved ones for unique adventures and great times together.  Because a life well lived is truly “Greater Than”.

“With this campaign, our goal was to authentically connect with our target audiences in unique ways”, said Lisa Materazzo, vice president vehicle marketing and communications, Toyota Motor North America. “We have created an assortment of intriguing executions that highlight the energy and excitement of creating new experiences and living life in the moment.”

“Greater Than” features six 30-second spots created for TV and digital placements, as well as a mix of 15-second and 6-second spots. The fully-integrated campaign targets a transcultural audience with assets delveloped by  three of Toyota’s agencies of record, including Saatchi & Saatchi, Conill and Intertrend Communications.

Here’s a glimpse of the 30-second spots by agency:

The  print campaign featuring the unexpected Dirty > Clean, Lost > Found and Detours > Plans, raise the unspoken sentiments of living in the moment, embracing a new experience, challenging traditional stereotypes and pursing passions.


The “Greater Than” TV spots will air in select targeted cable programming across NBCU, FOX Networks, Viacom, Turner, A+E, ESPN, Telemundo, Discovery en Espanol, Univision and more. Additional elements of the campaign include dynamic digital, audio, and print ads in high profile publications across Meredith, Hearst and Conde Nast. New integrated media partnerships include Oath, imgur, ESPN Nacion, Billboard, e-sports, the 2018 Latin American Music Awards, drifting platforms and more. Additionally, spots will air within select movie titles in theaters nationwide in conjunction with National CineMedia.



The all-new Toyota Corolla Hatchback wows with a mix of style, dynamic performance and technology. It also features some powerful perks:

With two available grades, SE and XSE, the new Corolla Hatchback will accommodate a wide array of drivers ready to keep life interesting.

The “Greater Than” spots are available for viewing
. View photos of the all-new Corolla Hatchback
.  The vehicle is on sale now in
.

Leigh Anne Sessions
Toyota Motor North America
424-488-4200


Jana Hartline
Saatchi for Toyota
310-738-4612
jana.hartline@saatchi.com

Kimberly Harms
Saatchi for Toyota
702-234-9517

















"
Toyota Financial Services Offers Payment Relief to Customers Affected by Hurricane Florence,"September 17, 2018","


(TFS) announced it is offering payment relief options to its customers affected by Hurricane Florence. This broad outreach includes any Toyota Financial Services (TFS) or Lexus Financial Services (LFS) customer in the designated disaster areas.

We at Toyota Financial Services care about the safety and well-being of our customers and want to help those impacted by the hurricane.  Impacted lease and finance customers residing in the devastated areas may be eligible to take advantage of several payment relief options, some of which include:


Toyota Financial Services will proactively attempt to contact customers via email and telephone in the affected areas to assess their needs and inform customers of the options available to them.

Customers who would like to discuss their account options are encouraged to contact TFS or LFS:


customers may call
or contact TFS via email using the Mail Center function after logging into
.


customers may call
or contact LFS via email using the Mail Center function after logging into

We extend our heartfelt thoughts to those affected by the devastating storm.

Vincent Bray
469-486-9065














"
"Toyota Drivers Take NHRA, NASCAR Point Leads","September 17, 2018","
Championship pursuits began over the weekend in NHRA and NASCAR where Toyota drivers J.R. Todd – who won in his Camry Funny Car – and Martin Truex Jr. now lead their respective series standings. Toyota drivers also won ARCA and POWRi races to give Toyota three victories in three different states over the weekend. Additionally, top-five finishes by Fredric Aasbø and Ryan Tuerck helped Toyota unofficially clinch the Formula DRIFT manufacturer’s title.


As the highest-finishing Camry driver, Martin Truex Jr. earned a third-place result in Sunday’s Monster Energy NASCAR Cup Series (MENCS) race at Las Vegas Motor Speedway, which was won by Brad Keselowski. Kyle Busch (seventh) rebounded from early trouble to earn his 22nd top-10 of the season. Toyota playoff drivers Denny Hamlin and Erik Jones were involved in incidents, and finished 32nd and 40th, respectively.

“All in all it was a great day for everybody on the Bass Pro/5-hour ENERGY Camry and all the guys did a phenomenal job this weekend,” said Truex. “Thanks to all the guys back in Denver at the shop, it’s pretty cool to see the effort going into these last 10 – we’re going to get after them. We had a winning car, just didn’t work out for us today. Really proud of the effort.”

The NASCAR Xfinity Series (NXS) closed out their regular season at Las Vegas on Saturday where Camry driver Christopher Bell (fourth) was the top-finishing Toyota driver. Ryan Preece (sixth) and Brandon Jones (seventh) also earned top-10 finishes in a race won by Ross Chastain. Bell and Jones will compete in the NXS playoffs set to begin Friday at Richmond Raceway.

“We won at Richmond in the spring,” said Bell as the series heads into the playoffs. “I think we’ll be in really good shape. This team does a great job at building really fast cars. For the most part, we always contend for the wins. I am really happy about that.”

Toyota drivers earned two top-10 finishes in Friday’s NASCAR Camping World Truck Series (NCWTS) race at Las Vegas with Austin Theriault (eighth) and Chris Eggleston (10th), behind NCWTS race winner Grant Enfinger.

Toyota driver Hailie Deegan won the pole position – the first female to do so in the NASCAR K&N Pro Series – and won her heat race in Thursday’s K&N West event at the Dirt Track at Las Vegas. However in the feature she couldn’t hold off race winner Sheldon Creed to equal her career-best runner-up result.


J.R. Todd drove his Toyota Camry Funny Car to victory in Sunday’s NHRA Mello Yello Drag Racing Series event at Pennsylvania’s Maple Grove Raceway, taking championship points lead after the first round of the NHRA Countdown to the Championship playoffs.

""It's awesome to keep the momentum going, but we still have a long road ahead of us,” said Todd, who has now won two straight Funny Car events and four overall this season. “These DHL/Wix Filter Toyota guys know how to win. A lot of them were here when Del Worsham won the title in 2015. It was nice to be able to come out of here with a win.”

This was also a milestone victory for Kalitta Motorsports – their 100th.

In Top Fuel, Antron Brown advanced to the semi-finals to move up to fifth in the point standings.


Fredric Aasbø earned a third-place showing as the top-finishing Toyota entry in Formula DRIFT’s ‘Round 7: Showdown’ at Texas Motor Speedway Saturday. Toyota 86 driver Ryan Tuerck earned a fifth-place result in an event won by Piotr Wiecek.

The finishes also propelled Toyota to a 218 point lead in the FD manufacturer’s standings, unofficially clinching their fifth straight title.


Toyota driver Chandler Smith led all but one lap in Saturday’s ARCA Racing Series event at Indiana’s Salem Speedway to win his second race of the season and Toyota’s 16th ARCA victory this year.


Logan Seavey led Tanner Carrick across the finish line to claim a Toyota one-two result at Jacksonville Speedway Friday night, while Saturday’s event saw Tucker Klaasmeyer earn runner-up at Spoon River Speedway in the weekend’s POWRi Lucas Oil National Midget League double-header in Illinois.


NASCAR heads to Virginia’s Richmond Raceway this weekend where the Monster Energy NASCAR Cup Series takes playoffs to a Saturday night showdown September 22 at 7:30 p.m. ET on NBCSN. NASCAR Xfinity Series races on September 21 at 7:30 p.m. ET.

NHRA continue their countdown at Gateway Motorsports Park near St. Louis September 21-23.

The NASCAR K&N Pro Series East races at New Hampshire Motor Speedway on September 22 with the race scheduled to air September 27 at 6 p.m. ET on NBCSN.
Zachary Reed
469.292.3499


Lisa Hughes Kennedy
704.902.6476















"
Toyota announces management change,"September 18, 2018","

– Rich Valenstein has been named group vice president, revenue management and product profitability, for Toyota Motor North America (TMNA).

In this newly created position, Valenstein will be responsible for TMNA’s product cost and profitability analysis, leading the company’s drive to optimize revenue, including introduction of enhanced data analytics tools, as well as leading financial support for Toyota’s North American parts and accessories operations.

He will continue to report to Tracey Doi, chief financial officer and group vice president, accounting and finance.

“Rich has been an integral part of our finance team for many years. He has already set a strong foundation that he will continue to build upon as he leads TMNA’s revenue optimization efforts,” Doi said. “We look forward to seeing the impact he can make with new analytical capabilities, in partnership with key leaders across the enterprise.”

Previously, Valenstein served as vice president, finance, for TMNA. In this capacity, he oversaw the finance function for Toyota’s integrated automotive operations in North America, which includes design, manufacturing, marketing, sales, distribution and aftermarket activities. Valenstein was responsible for business planning, budgeting, forecasting, profit/cost analysis and affiliate finance. He also oversaw Toyota’s NA Regional Treasury Center, including corporate, pension and savings plan investments and treasury operations.

Valenstein also concurrently served as CFO/treasurer for Toyota Mexico, Toyota Puerto Rico, and other subsidiaries.

Prior to joining Toyota in 2004, Valenstein served in a number of senior finance roles with Ford Motor Company, including Ford Engine group controller, small car controller and worldwide revenue manager for Ford’s Small/Medium Vehicle Center. He also served as CFO for Mazda North America Operations and in a range of business planning, product and profit-analysis management positions in the United States, Latin America and Europe.

Valenstein is a U.S. Navy veteran, serving as a Surface Warfare Officer.
He earned a bachelor of science degree in engineering at the U.S. Naval Academy and a master of business administration degree in finance at the University of Maryland.

In addition to his finance responsibilities at Toyota, Valenstein serves on the board of directors of the American Heart Association’s Dallas and Los Angeles chapters, and as executive sponsor of the Toyota Veterans Association.
Eric Booth
469-292-5290


Karen Nielsen
469-292-2659















"
